Employee ID,Department,Job Role,Gender,Age,Education,Hiring Date,Salary,Performance Rating,Satisfaction Score,Attrition,Recruitment Source,Training Hours,Years at Company
EMP-00001,Marketing,Marketing Analyst,Non-Binary,44,PhD,2018-02-04,93158,5,5,No,Indeed,97,5
EMP-00002,Finance,Accountant,Female,59,Master's,2015-05-11,81023,2,5,No,Company Website,30,8
EMP-00003,Sales,Account Manager,Non-Binary,49,Associate Degree,2015-01-22,64769,4,5,Yes,Indeed,64,8
EMP-00004,Marketing,SEO Specialist,Male,35,Master's,2016-10-08,66394,1,5,Yes,Referral,18,7
EMP-00005,Engineering,Software Engineer,Non-Binary,35,Bachelor's,2019-01-18,98483,5,4,No,Company Website,59,4
EMP-00006,Marketing,SEO Specialist,Non-Binary,39,Master's,2022-02-26,56021,4,2,Yes,Company Website,43,1
EMP-00007,Engineering,QA Engineer,Male,37,Bachelor's,2021-05-06,108763,1,4,No,Referral,62,2
EMP-00008,Engineering,Software Engineer,Non-Binary,22,Bachelor's,2021-02-13,96243,5,4,No,LinkedIn,97,2
EMP-00009,Sales,Account Manager,Non-Binary,56,Bachelor's,2019-02-04,47695,3,3,No,Indeed,14,4
EMP-00010,Engineering,DevOps,Non-Binary,44,Master's,2020-12-22,113952,4,1,Yes,Recruiter,53,3
EMP-00011,Operations,Project Manager,Non-Binary,22,Bachelor's,2017-08-18,102530,5,3,No,Referral,23,6
EMP-00012,HR,HR Specialist,Non-Binary,53,PhD,2017-11-04,50206,2,2,No,LinkedIn,61,6
EMP-00013,Finance,Accountant,Male,57,Bachelor's,2019-10-24,87403,5,5,No,Indeed,95,4
EMP-00014,Marketing,SEO Specialist,Female,32,Associate Degree,2022-02-17,98689,5,1,No,Referral,98,1
EMP-00015,Operations,Project Manager,Male,24,PhD,2018-11-01,90080,1,3,No,Indeed,18,5
EMP-00016,Operations,Project Manager,Male,33,Master's,2018-06-11,91968,3,4,No,Referral,12,5
EMP-00017,Sales,Sales Executive,Female,49,Master's,2023-03-19,65080,3,1,No,Recruiter,10,0
EMP-00018,HR,Recruiter,Non-Binary,38,PhD,2019-09-04,71556,4,2,Yes,Recruiter,79,4
EMP-00019,Operations,Project Manager,Female,37,Bachelor's,2022-08-31,104542,1,1,Yes,Indeed,29,1
EMP-00020,Marketing,Marketing Analyst,Non-Binary,54,Associate Degree,2018-10-01,61546,3,3,No,Referral,10,5
EMP-00021,HR,Recruiter,Female,23,Bachelor's,2021-11-25,58120,2,2,Yes,Company Website,78,2
EMP-00022,Finance,Accountant,Non-Binary,41,Associate Degree,2020-08-18,72158,3,1,No,LinkedIn,33,3
EMP-00023,Marketing,Marketing Analyst,Male,56,Bachelor's,2018-12-14,87711,3,4,No,Recruiter,27,5
EMP-00024,Operations,Operations Coordinator,Male,25,Bachelor's,2022-11-09,71969,5,3,No,Recruiter,57,1
EMP-00025,Marketing,SEO Specialist,Non-Binary,43,PhD,2018-11-16,77399,1,3,No,Recruiter,60,5
EMP-00026,Operations,Operations Coordinator,Non-Binary,54,Bachelor's,2020-09-05,79738,5,2,No,Company Website,70,3
EMP-00027,HR,Recruiter,Female,50,Master's,2018-04-30,87410,1,1,No,Recruiter,15,5
EMP-00028,HR,Recruiter,Non-Binary,56,Associate Degree,2021-05-16,83828,1,5,No,LinkedIn,72,2
EMP-00029,Finance,Financial Analyst,Male,52,Master's,2020-06-29,100743,3,1,Yes,Referral,76,3
EMP-00030,Operations,Operations Coordinator,Female,38,Associate Degree,2022-12-11,67455,3,2,Yes,LinkedIn,18,1
EMP-00031,HR,Recruiter,Male,45,Bachelor's,2019-02-09,90111,2,2,No,Company Website,16,4
EMP-00032,Sales,Account Manager,Non-Binary,49,Master's,2015-01-20,49780,4,1,No,Referral,41,8
EMP-00033,Operations,Project Manager,Male,27,PhD,2016-07-28,88312,2,5,No,Indeed,69,7
EMP-00034,Finance,Financial Analyst,Female,53,Associate Degree,2019-05-15,79599,4,4,No,Indeed,64,4
EMP-00035,Marketing,SEO Specialist,Male,40,Associate Degree,2016-01-05,83940,2,4,No,Referral,64,7
EMP-00036,Engineering,Software Engineer,Female,22,PhD,2015-04-27,107217,4,1,No,Referral,57,8
EMP-00037,Sales,Account Manager,Female,37,PhD,2018-04-27,48343,5,5,No,Recruiter,95,5
EMP-00038,Sales,Sales Executive,Female,47,Associate Degree,2017-12-28,54435,4,1,Yes,Recruiter,48,6
EMP-00039,Marketing,Marketing Analyst,Female,52,Master's,2020-09-01,92220,2,2,No,Referral,28,3
EMP-00040,Engineering,Software Engineer,Non-Binary,23,Bachelor's,2018-09-10,116975,4,5,No,Company Website,41,5
EMP-00041,HR,Recruiter,Male,58,Associate Degree,2020-04-15,68071,3,2,No,Indeed,74,3
EMP-00042,Sales,Account Manager,Non-Binary,23,Bachelor's,2017-12-02,48913,5,4,Yes,Indeed,44,6
EMP-00043,Sales,Account Manager,Female,28,Associate Degree,2022-04-06,70351,2,2,Yes,Referral,84,1
EMP-00044,Finance,Accountant,Female,58,Bachelor's,2016-12-29,105355,5,5,No,Indeed,58,7
EMP-00045,HR,Recruiter,Non-Binary,34,PhD,2017-09-04,67955,5,1,Yes,LinkedIn,39,6
EMP-00046,Sales,Sales Executive,Male,57,Associate Degree,2016-08-18,59397,5,1,No,Recruiter,28,7
EMP-00047,Marketing,Marketing Analyst,Male,26,PhD,2019-12-25,90270,3,4,No,Company Website,34,4
EMP-00048,Marketing,Marketing Analyst,Female,35,PhD,2018-03-13,76972,5,1,No,Referral,14,5
EMP-00049,HR,HR Specialist,Male,31,Master's,2015-08-23,58924,2,3,No,Company Website,26,8
EMP-00050,Finance,Accountant,Non-Binary,23,Bachelor's,2018-04-12,66542,2,5,No,Recruiter,46,5
EMP-00051,Operations,Project Manager,Male,28,Bachelor's,2019-02-28,88295,1,5,No,Recruiter,13,4
EMP-00052,Marketing,SEO Specialist,Non-Binary,31,Master's,2019-12-16,78803,4,5,No,Indeed,48,4
EMP-00053,Operations,Project Manager,Male,22,PhD,2016-10-14,80652,4,2,No,Recruiter,71,7
EMP-00054,Sales,Sales Executive,Male,53,Bachelor's,2017-04-03,79299,5,1,No,Recruiter,56,6
EMP-00055,Finance,Accountant,Non-Binary,41,Bachelor's,2015-07-22,92509,5,4,No,Referral,56,8
EMP-00056,Sales,Sales Executive,Non-Binary,37,PhD,2018-03-12,83413,5,1,No,LinkedIn,84,5
EMP-00057,Marketing,SEO Specialist,Female,49,Associate Degree,2022-10-02,65975,4,4,No,Referral,17,1
EMP-00058,Engineering,QA Engineer,Non-Binary,38,Bachelor's,2022-08-11,108307,1,5,No,LinkedIn,93,1
EMP-00059,Finance,Accountant,Female,26,PhD,2017-07-13,96471,3,5,No,LinkedIn,75,6
EMP-00060,Engineering,QA Engineer,Female,53,PhD,2017-05-26,98793,1,5,No,LinkedIn,20,6
EMP-00061,Finance,Accountant,Male,55,Bachelor's,2018-05-25,69158,3,3,No,Indeed,10,5
EMP-00062,Finance,Accountant,Female,24,Bachelor's,2016-04-20,94189,5,1,No,Recruiter,62,7
EMP-00063,Finance,Accountant,Female,22,PhD,2015-03-24,97201,5,1,No,Recruiter,86,8
EMP-00064,Marketing,SEO Specialist,Non-Binary,47,Master's,2017-05-30,59544,4,2,Yes,Referral,63,6
EMP-00065,Operations,Project Manager,Female,38,Associate Degree,2015-09-25,88538,4,1,No,Recruiter,94,8
EMP-00066,Operations,Operations Coordinator,Female,39,Master's,2016-03-10,86698,2,4,No,Indeed,60,7
EMP-00067,Engineering,Software Engineer,Male,50,Associate Degree,2018-09-20,106703,2,4,No,Referral,65,5
EMP-00068,Sales,Account Manager,Female,34,Master's,2020-02-19,64963,2,5,No,Indeed,52,3
EMP-00069,HR,HR Specialist,Male,24,Associate Degree,2017-01-30,56254,4,3,No,Indeed,36,6
EMP-00070,Finance,Accountant,Male,39,Associate Degree,2015-03-02,75161,3,2,Yes,Referral,70,8
EMP-00071,Operations,Project Manager,Female,35,Master's,2022-05-16,99749,4,1,Yes,Recruiter,36,1
EMP-00072,Sales,Account Manager,Male,38,Master's,2020-09-25,55488,3,1,No,Company Website,10,3
EMP-00073,Sales,Sales Executive,Female,47,Master's,2022-07-29,67195,4,2,Yes,Indeed,65,1
EMP-00074,HR,HR Specialist,Female,59,PhD,2019-07-05,55122,4,3,No,Indeed,24,4
EMP-00075,Sales,Sales Executive,Female,46,Bachelor's,2016-12-14,55267,1,1,Yes,Recruiter,93,7
EMP-00076,Sales,Account Manager,Non-Binary,43,Master's,2015-03-08,52561,5,1,No,LinkedIn,92,8
EMP-00077,Engineering,Software Engineer,Male,27,Bachelor's,2018-07-29,94123,3,2,Yes,LinkedIn,42,5
EMP-00078,Finance,Accountant,Female,52,Associate Degree,2019-09-30,91900,3,4,Yes,LinkedIn,12,4
EMP-00079,HR,HR Specialist,Non-Binary,27,Master's,2022-02-08,54324,4,2,No,LinkedIn,60,1
EMP-00080,Operations,Project Manager,Male,27,Master's,2022-07-25,60846,3,2,No,Company Website,28,1
EMP-00081,Marketing,Marketing Analyst,Female,58,Master's,2020-12-27,91976,2,1,No,Indeed,86,3
EMP-00082,HR,HR Specialist,Female,23,Bachelor's,2017-06-20,70128,2,2,No,Referral,93,6
EMP-00083,Sales,Sales Executive,Female,56,Master's,2022-10-03,88336,3,1,No,LinkedIn,78,1
EMP-00084,Operations,Operations Coordinator,Non-Binary,56,Bachelor's,2020-05-23,60235,3,5,No,Company Website,73,3
EMP-00085,Finance,Accountant,Male,40,PhD,2018-06-06,106832,3,4,No,Referral,71,5
